name,party,constituency,region
KWAKU  AFRIYIE,NPP,SEFWI WIAWSO Constituency,Western North Region
Kwame Twumasi Ampofo,NDC,SENE WEST Constituency,Bono East Region
KWAME  ANYIMADU-ANTWI,NPP,ASANTE AKIM CENTRAL Constituency,Ashanti Region
AMA POMAA BOATENG,NPP,JUABEN Constituency,Ashanti Region
AMIDU  CHINNIA  ISSAHAKU ,NPP,SISSALA EAST Constituency,Upper West Region
ANDREW DARI CHIWITEY,NDC,SAWLA/TUNA/KALBA Constituency,Savanna Region
ANDREW KOFI EGYAPA MERCER,NPP,SEKONDI Constituency,Western Region
ANDREW ASIAMAH AMOAKO,INDEPEN,FOMENA Constituency,Ashanti Region
ANDY KWAME APPIAH-KUBI,NPP,ASANTE AKIM NORTH Constituency,Ashanti Region
ANGELA OFORlWA ALORWU-TAY,NDC,AFADJATO SOUTH Constituency,Volta Region
ANTHONY MWINKAARA SUMAH,NDC,NADOWLI/KALEO Constituency,Upper West Region
MOHAMMED MUBARAK MUNTAKA,NDC,ASAWASE Constituency,Ashanti Region
MOHAMMED ADAMU RAMADAN,NDC,ADENTAN Constituency,Greater Accra Region
MOHAMMED AMIN  ADAM,NPP,KARAGA Constituency,Northern Region
MOSES  ANIM,NPP,TROBU Constituency,Greater Accra Region
ADAMA  SULEMANA,NDC,TAIN Constituency,Bono Region
MUSTAPHA  USSIF,NPP,YAGABA-KUBORI Constituency,North East Region
NAANA  EYIAH,NPP,GOMOA CENTRAL Constituency,Central Region
NANA AYEW AFRIYE,NPP,EFFIDUASE/ASOKORE Constituency,Ashanti Region
NASER TOURE MAHAMA,NDC,AYAWASO EAST Constituency,Greater Accra Region
NELSON  KYEREMEH,NPP,BEREKUM EAST Constituency,Bono Region
NICHOLAS  AMANKWAH,NDC,AMENFI EAST Constituency,Western Region
ADELAIDE  NTIM,NPP,NSUTA/KWAMAN BEPOSO Constituency,Ashanti Region
AGNES NAA MOMO LARTEY,NDC,KROWOR Constituency,Greater Accra Region
AKWASI  DARKO BOATENG,NPP,BOSOME FREHO Constituency,Ashanti Region
AKWASI  KONADU,NPP,MANHYIA NORTH Constituency,Ashanti Region
AKWASI OWUSU AFRIFA-MENSA,NPP,AMASAMAN Constituency,Greater Accra Region
ALBERT TETTEH NYAKOTEY,NDC,YILO KROBO Constituency,Eastern Region
ALBERT AKUKA ALALZUUGA,NDC,GARU Constituency,Upper East Region
ALEX TETTEH DJORNOBUAH,NPP,SEFWI AKONTOMBRA Constituency,Western North Region
ALEX   BLANKSON,NPP,AKROFUOM Constituency,Ashanti Region
Kwame Twumasi Ampofo,NDC,SENE WEST Constituency,Bono East Region
KWAME  ANYIMADU-ANTWI,NPP,ASANTE AKIM CENTRAL Constituency,Ashanti Region
Kwamena Minta Nyarku,NDC,CAPE COAST NORTH Constituency,Central Region
KWASI BOATENG ADJEI,NPP,NEW JUABEN NORTH Constituency,Eastern Region
KWASI  AMOAKO-ATTAH,NPP,ATIWA WEST Constituency,Eastern Region
KWASI  AMEYAW-CHEREMEH,NPP,SUNYANI EAST Constituency,Bono Region
LAADI AYII AYAMBA,NDC,PUSIGA Constituency,Upper East Region
LARIBA ZUWEIRA ABUDU,NPP,WALEWALE Constituency,North East Region
LINDA OBENEWAA AKWELEY OCLOO,NDC,SHAI-OSUDOKU Constituency,Greater Accra Region
LYDIA SEYRAM ALHASSAN,NPP,AYAWASO WEST WUGON Constituency,Greater Accra Region
PAUL APREKU TWUM-BARIMAH,NPP,DORMAA EAST Constituency,Bono Region
PETER KWASI NORTSU-KOTOE,NDC,AKATSI NORTH Constituency,Volta Region
PETER  YAW KWAKYE-ACKAH,NDC,AMENFI CENTRAL Constituency,Western Region
PETER LANCHENE TOOBU,NDC,WA WEST Constituency,Upper West Region
PHILIP  BASOAH,NPP,KUMAWU Constituency,Ashanti Region
PRINCE HAMIDU ARMAH,NPP,KWESIMINTSIM Constituency,Western Region
QUEENSTAR MAAME POKUAH SAWYERR,NDC,AGONA EAST Constituency,Central Region
Richard  Acheampong,NDC,BIA EAST Constituency,Western North Region
RICHARD KWAMI SEFE,NDC,ANLO Constituency,Volta Region
RICHARD  GYAN-MENSAH,NDC,GOMOA WEST Constituency,Central Region
SAMUEL NARTEY GEORGE,NDC,NINGO-PRAMPRAM Constituency,Greater Accra Region
SANJA  NANJA,NDC,ATEBUBU/AMANTIN Constituency,Bono East Region
SARAH ADWOA SAFO,NPP,DOME/KWABENYA Constituency,Greater Accra Region
SEBASTIAN NGMENENSO SANDAARE,NDC,DAFFIAMA/BUSSIE/ISSA Constituency,Upper West Region
SEIDU  HARUNA,NDC,WENCHI Constituency,Bono Region
SHEILA PENELOPE  BARTELS,NPP,ABLEKUMA NORTH Constituency,Greater Accra Region
SOLOMON  KUYON,NDC,KRACHI-NCHUMURU Constituency,Oti Region
SOPHIA KAREN EDEM ACKUAKU,NDC,DOMEABRA-OBOM Constituency,Greater Accra Region
SOWAH ADJOA DELLA,NDC,KPANDO Constituency,Volta Region
STEPHEN  AMOAH,NPP,NHYIAESO Constituency,Ashanti Region
KOFI IDDIE ADAMS,NDC,BUEM Constituency,Oti Region
KOFI  AMANKWA-MANU,NPP,ATWIMA KWANWOMA Constituency,Ashanti Region
KOFI   OKYERE AGYEKUM,NPP,FANTEAKWA SOUTH Constituency,Eastern Region
KOFI ARKO NOKOE,NDC,EVALUE-AJOMORO-GWIRA Constituency,Western Region
KOFI AHENKORAH MARFO,NPP,ACHIASE Constituency,Eastern Region
KOJO OPPONG NKRUMAH,NPP,OFOASE AYIREBI Constituency,Eastern Region
KWABENA MINTAH AKANDOH,NDC,JUABOSO Constituency,Western North Region
KWABENA  OKYERE DARKO-MENSAH,NPP,TAKORADI Constituency,Western Region
KWABENA AMANKWA ASIAMAH,NPP,FANTEAKWA NORTH Constituency,Eastern Region
KWABENA  DONKOR,NDC,PRU EAST Constituency,Bono East Region
YUSIF  SULEMANA,NDC,BOLE BAMBOI Constituency,Savanna Region
YUSSIF  Jajah Issaka,NDC,AYAWASO NORTH Constituency,Greater Accra Region
YVES  HANSON-NORTEY,NPP,TEMA CENTRAL Constituency,Greater Accra Region
ZANETOR  AGYEMAN-RAWLINGS,NDC,KORLE KLOTTEY Constituency,Greater Accra Region
ZUWERA MOHAMMED IBRAHIMAH,NDC,SALAGA SOUTH Constituency,Savanna Region
