constituency,name,party,region
ASANTE AKIM SOUTH Constituency,KWAKU  ASANTE-BOATENG,NPP,Ashanti Region
HOHOE Constituency,JOHN - PETER   AMEWU,NPP,Volta Region
AHAFO ANO SOUTH WEST Constituency,JOHNSON KWAKU ADU,NPP,Ashanti Region
BEREKUM WEST Constituency,KWAKU  AGYENIM-BOATENG,NPP,Bono Region
SUAMAN Constituency,JOSEPH  BETINO,NDC,Western North Region
MAMPONG Constituency,KWAKU  AMPRATWUM-SARPONG,NPP,Ashanti Region
AFRAM PLAINS SOUTH Constituency,Joseph Appiah Boateng,NDC,Eastern Region
KETA Constituency,Kwame Dzudzorli Gakpey,NDC,Volta Region
SENE WEST Constituency,Kwame Twumasi Ampofo,NDC,Bono East Region
SABOBA Constituency,JOSEPH NIKPE BUKARI,NDC,Northern Region
NKAWKAW Constituency,JOSEPH  FREMPONG,NPP,Eastern Region
AYAWASO WEST WUGON Constituency,LYDIA SEYRAM ALHASSAN,NPP,Greater Accra Region
DABOYA/MANKARIGU Constituency,MAHAMA ASEI SEINI,NPP,Savanna Region
NABDAM Constituency,MARK KURT NAWAANE,NDC,Upper East Region
TECHIMAN SOUTH Constituency,MARTIN ADJEI-MENSAH KORSAH,NPP,Bono East Region
MANHYIA SOUTH Constituency,MATTHEW OPOKU PREMPEH,NPP,Ashanti Region
AWUTU SENYA EAST Constituency,MAVIS HAWA KOOMSON,NPP,Central Region
AFIGYA SEKYERE EAST Constituency,MAVIS  NKANSAH-BOADU,NPP,Ashanti Region
NEW JUABEN SOUTH Constituency,MICHAEL OKYERE BAAFl,NPP,Eastern Region
ASAWASE Constituency,MOHAMMED MUBARAK MUNTAKA,NDC,Ashanti Region
ADENTAN Constituency,MOHAMMED ADAMU RAMADAN,NDC,Greater Accra Region
MION Constituency,ABDUL-AZIZ  AYABA MUSAH,NPP,Northern Region
WA CENTRAL Constituency,ABDUL-RASHID HASSAN PELPUO,NDC,Upper West Region
CHEREPONI Constituency,ABDUL-RAZAK  TAHIDU,NPP,North East Region
NEW EDUBIASE Constituency,ABDUL-SALAM  ADAMS,NDC,Ashanti Region
KINTAMPO NORTH Constituency,Joseph Kwame Kumah,NDC,Bono East Region
BINDURI Constituency,ABDULAI   ABANGA ,NPP,Upper East Region
BEKWAI Constituency,JOSEPH  OSEI-OWUSU,NPP,Ashanti Region
EFFIA Constituency,JOSEPH  CUDJOE,NPP,Western Region
BUNKPURUGU Constituency,ABED-NEGO  BANDIM,NDC,North East Region
NKORANZA NORTH Constituency,JOSEPH KWASI MENSAH,NDC,Bono East Region
EKUMFI Constituency,ABEIKU  CRENTSIL,NDC,Central Region
SUAMAN Constituency,JOSEPH  BETINO,NDC,Western North Region
ATIWA EAST Constituency,ABENA  OSEI-ASARE,NPP,Eastern Region
NORTH DAYI Constituency,JOYCELYN  TETTEH,NDC,Volta Region
KETU SOUTH Constituency,ABLA DZIFA  GOMASHIE,NDC,Volta Region
ASSIN CENTRAL Constituency,KEN OHENE AGYAPONG,NPP,Central Region
WULENSI Constituency,ABUKARI  DAWUNI,NDC,Northern Region
AKIM SWEDRU Constituency,KENNEDY NYARKO OSEI,NPP,Eastern Region
KWADASO Constituency,KINGSLEY  NYARKO,NPP,Ashanti Region
ADANSI ASOKWA Constituency,KOBINA TAHIR HAMMOND,NPP,Ashanti Region
AYAWASO CENTRAL Constituency,HENRY  QUARTEY,NPP,Greater Accra Region
AKWATIA Constituency,HENRY YIADOM BOAKYE,NDC,Eastern Region
CENTRAL TONGU Constituency,HOTTORDZE ALEXANDER ROOSEVELT,NDC,Volta Region
TAMALE CENTRAL Constituency,IBRAHIM MURTALA MUHAMMED,NDC,Northern Region
BANDA Constituency,IBRAHIM  AHMED,NDC,Bono Region
SAVELEGU Constituency,IDDRISS JACOB ABDULAI,NDC,Northern Region
SUNYANI WEST Constituency,IGNATIUS BAFFOUR AWUAH,NPP,Bono Region
WASSA EAST Constituency,ISAAC ADJEI MENSAH,NDC,Western Region
OFFINSO SOUTH Constituency,ISAAC YAW OPOKU,NPP,Ashanti Region
ATWIMA MPONUA Constituency,ISAAC KWAME ASIAMAH,NPP,Ashanti Region
ATWIMA MPONUA Constituency,ISAAC KWAME ASIAMAH,NPP,Ashanti Region
ACHIASE Constituency,KOFI AHENKORAH MARFO,NPP,Eastern Region
TEMA EAST Constituency,ISAAC ASHAI ODAMTTEN,NDC,Greater Accra Region
EVALUE-AJOMORO-GWIRA Constituency,KOFI ARKO NOKOE,NDC,Western Region
NALERIGU/GAMBAGA Constituency,ISSIFU  SEIDU,NDC,North East Region
BUEM Constituency,KOFI IDDIE ADAMS,NDC,Oti Region
ATWIMA KWANWOMA Constituency,KOFI  AMANKWA-MANU,NPP,Ashanti Region
ZABZUGU Constituency,JABAAH JOHN BENNAM,NPP,Northern Region
BUILSA NORTH Constituency,JAMES  AGALGA,NDC,Upper East Region
FANTEAKWA SOUTH Constituency,KOFI   OKYERE AGYEKUM,NPP,Eastern Region
ASSIN NORTH Constituency,JAMES GYAKYE QUAYSON,NDC,Central Region
OFOASE AYIREBI Constituency,KOJO OPPONG NKRUMAH,NPP,Eastern Region
KETU NORTH Constituency,James Klutse  Avedzi,NDC,Volta Region
ESSlKADO-KETAN Constituency,JOE  GHARTEY,NPP,Western Region
PRU EAST Constituency,KWABENA  DONKOR,NDC,Bono East Region
JUABOSO Constituency,KWABENA MINTAH AKANDOH,NDC,Western North Region
MPOHOR Constituency,JOHN KOBINA ABBAM ABOAH SANIE,NPP,Western Region
TAKORADI Constituency,KWABENA  OKYERE DARKO-MENSAH,NPP,Western Region
NKWANTA NORTH Constituency,JOHN KWABENA BLESS OTI,NDC,Oti Region
FANTEAKWA NORTH Constituency,KWABENA AMANKWA ASIAMAH,NPP,Eastern Region
AHAFO ANO SOUTH EAST Constituency,FRANCIS  MANU-ADABOR,NPP,Ashanti Region
BANTAMA Constituency,FRANCIS  ASENSO-BOAKYE,NPP,Ashanti Region
MADINA Constituency,FRANCIS-XAVIER KOJO SOSU,NDC,Greater Accra Region
KWABRE EAST Constituency,FRANCISCA OTENG MENSAH,NPP,Ashanti Region
NSAWAM/ADOAGYIRI Constituency,FRANK  ANNOH-DOMPREH,NPP,Eastern Region
TANO NORTH Constituency,FREDA  PREMPEH,NPP,Ahafo Region
UPPER WEST AKIM Constituency,FREDERICK OBENG ADOM,NPP,Eastern Region
